sku_id,product_name,category,subcategory,store_section,size,color,MRP,cost_price,season_status
P04-32-NAVY,Chino Trousers,Bottoms,Trousers,Men,32,Navy,1099.00,480.00,Core
P04-34-BEIGE,Chino Trousers,Bottoms,Trousers,Men,34,Beige,1099.00,480.00,Core
P04-34-OLIVE,Chino Trousers,Bottoms,Trousers,Men,34,Olive,1099.00,480.00,Core
P04-34-NAVY,Chino Trousers,Bottoms,Trousers,Men,34,Navy,1099.00,480.00,Core
P04-36-BEIGE,Chino Trousers,Bottoms,Trousers,Men,36,Beige,1099.00,480.00,Core
P04-36-OLIVE,Chino Trousers,Bottoms,Trousers,Men,36,Olive,1099.00,480.00,Core
P04-36-NAVY,Chino Trousers,Bottoms,Trousers,Men,36,Navy,1099.00,480.00,Core
P05-S-WHITE,Formal Shirt,Tops,Shirts,Men,S,White,999.00,405.00,Core
P05-S-BLUE,Formal Shirt,Tops,Shirts,Men,S,Blue,999.00,405.00,Core
P05-S-GREY,Formal Shirt,Tops,Shirts,Men,S,Grey,999.00,405.00,Core
P05-M-WHITE,Formal Shirt,Tops,Shirts,Men,M,White,999.00,405.00,Core
P05-M-BLUE,Formal Shirt,Tops,Shirts,Men,M,Blue,999.00,405.00,Core
P05-M-GREY,Formal Shirt,Tops,Shirts,Men,M,Grey,999.00,405.00,Core
P05-L-WHITE,Formal Shirt,Tops,Shirts,Men,L,White,999.00,405.00,Core
P05-L-BLUE,Formal Shirt,Tops,Shirts,Men,L,Blue,999.00,405.00,Core
P05-L-GREY,Formal Shirt,Tops,Shirts,Men,L,Grey,999.00,405.00,Core
P05-XL-WHITE,Formal Shirt,Tops,Shirts,Men,XL,White,999.00,405.00,Core
P05-XL-BLUE,Formal Shirt,Tops,Shirts,Men,XL,Blue,999.00,405.00,Core
P05-XL-GREY,Formal Shirt,Tops,Shirts,Men,XL,Grey,999.00,405.00,Core
P06-S-BLACK,Graphic Tee,Tops,T-Shirts,Men,S,Black,499.00,205.00,Seasonal
P06-S-WHITE,Graphic Tee,Tops,T-Shirts,Men,S,White,499.00,205.00,Seasonal
P06-S-RED,Graphic Tee,Tops,T-Shirts,Men,S,Red,499.00,205.00,Seasonal
P06-M-BLACK,Graphic Tee,Tops,T-Shirts,Men,M,Black,499.00,205.00,Seasonal
P06-M-WHITE,Graphic Tee,Tops,T-Shirts,Men,M,White,499.00,205.00,Seasonal
P06-M-RED,Graphic Tee,Tops,T-Shirts,Men,M,Red,499.00,205.00,Seasonal
P06-L-BLACK,Graphic Tee,Tops,T-Shirts,Men,L,Black,499.00,205.00,Seasonal
P06-L-WHITE,Graphic Tee,Tops,T-Shirts,Men,L,White,499.00,205.00,Seasonal
P06-L-RED,Graphic Tee,Tops,T-Shirts,Men,L,Red,499.00,205.00,Seasonal
P06-XL-BLACK,Graphic Tee,Tops,T-Shirts,Men,XL,Black,499.00,205.00,Seasonal
P06-XL-WHITE,Graphic Tee,Tops,T-Shirts,Men,XL,White,499.00,205.00,Seasonal
P06-XL-RED,Graphic Tee,Tops,T-Shirts,Men,XL,Red,499.00,205.00,Seasonal
P07-XS-MUSTARD,Cotton Kurti,Ethnic Wear,Kurtis,Women,XS,Mustard,999.00,405.00,Core
P07-XS-TEAL,Cotton Kurti,Ethnic Wear,Kurtis,Women,XS,Teal,999.00,405.00,Core
P07-XS-MAROON,Cotton Kurti,Ethnic Wear,Kurtis,Women,XS,Maroon,999.00,405.00,Core
P07-S-MUSTARD,Cotton Kurti,Ethnic Wear,Kurtis,Women,S,Mustard,999.00,405.00,Core
P07-S-TEAL,Cotton Kurti,Ethnic Wear,Kurtis,Women,S,Teal,999.00,405.00,Core
P07-S-MAROON,Cotton Kurti,Ethnic Wear,Kurtis,Women,S,Maroon,999.00,405.00,Core
P07-M-MUSTARD,Cotton Kurti,Ethnic Wear,Kurtis,Women,M,Mustard,999.00,405.00,Core
P07-M-TEAL,Cotton Kurti,Ethnic Wear,Kurtis,Women,M,Teal,999.00,405.00,Core
P07-M-MAROON,Cotton Kurti,Ethnic Wear,Kurtis,Women,M,Maroon,999.00,405.00,Core
P07-L-MUSTARD,Cotton Kurti,Ethnic Wear,Kurtis,Women,L,Mustard,999.00,405.00,Core
P07-L-TEAL,Cotton Kurti,Ethnic Wear,Kurtis,Women,L,Teal,999.00,405.00,Core
P07-L-MAROON,Cotton Kurti,Ethnic Wear,Kurtis,Women,L,Maroon,999.00,405.00,Core
P07-XL-MUSTARD,Cotton Kurti,Ethnic Wear,Kurtis,Women,XL,Mustard,999.00,405.00,Core
P07-XL-TEAL,Cotton Kurti,Ethnic Wear,Kurtis,Women,XL,Teal,999.00,405.00,Core
P07-XL-MAROON,Cotton Kurti,Ethnic Wear,Kurtis,Women,XL,Maroon,999.00,405.00,Core
P08-XS-PINK,Floral Kurti,Ethnic Wear,Kurtis,Women,XS,Pink,1199.00,495.00,Seasonal
P08-XS-BLUE,Floral Kurti,Ethnic Wear,Kurtis,Women,XS,Blue,1199.00,495.00,Seasonal
P08-XS-GREEN,Floral Kurti,Ethnic Wear,Kurtis,Women,XS,Green,1199.00,495.00,Seasonal
P08-S-PINK,Floral Kurti,Ethnic Wear,Kurtis,Women,S,Pink,1199.00,495.00,Seasonal
P08-S-BLUE,Floral Kurti,Ethnic Wear,Kurtis,Women,S,Blue,1199.00,495.00,Seasonal
P08-S-GREEN,Floral Kurti,Ethnic Wear,Kurtis,Women,S,Green,1199.00,495.00,Seasonal
P08-M-PINK,Floral Kurti,Ethnic Wear,Kurtis,Women,M,Pink,1199.00,495.00,Seasonal
P08-M-BLUE,Floral Kurti,Ethnic Wear,Kurtis,Women,M,Blue,1199.00,495.00,Seasonal
P08-M-GREEN,Floral Kurti,Ethnic Wear,Kurtis,Women,M,Green,1199.00,495.00,Seasonal
P08-L-PINK,Floral Kurti,Ethnic Wear,Kurtis,Women,L,Pink,1199.00,495.00,Seasonal
P08-L-BLUE,Floral Kurti,Ethnic Wear,Kurtis,Women,L,Blue,1199.00,495.00,Seasonal
P08-L-GREEN,Floral Kurti,Ethnic Wear,Kurtis,Women,L,Green,1199.00,495.00,Seasonal
P08-XL-PINK,Floral Kurti,Ethnic Wear,Kurtis,Women,XL,Pink,1199.00,495.00,Seasonal
P08-XL-BLUE,Floral Kurti,Ethnic Wear,Kurtis,Women,XL,Blue,1199.00,495.00,Seasonal
P08-XL-GREEN,Floral Kurti,Ethnic Wear,Kurtis,Women,XL,Green,1199.00,495.00,Seasonal
P09-XS-BLACK,Straight Pants,Bottoms,Trousers,Women,XS,Black,799.00,326.00,Core
P09-XS-BEIGE,Straight Pants,Bottoms,Trousers,Women,XS,Beige,799.00,326.00,Core
P09-XS-NAVY,Straight Pants,Bottoms,Trousers,Women,XS,Navy,799.00,326.00,Core
P09-S-BLACK,Straight Pants,Bottoms,Trousers,Women,S,Black,799.00,326.00,Core
P09-S-BEIGE,Straight Pants,Bottoms,Trousers,Women,S,Beige,799.00,326.00,Core
P09-S-NAVY,Straight Pants,Bottoms,Trousers,Women,S,Navy,799.00,326.00,Core
P09-M-BLACK,Straight Pants,Bottoms,Trousers,Women,M,Black,799.00,326.00,Core
P09-M-BEIGE,Straight Pants,Bottoms,Trousers,Women,M,Beige,799.00,326.00,Core
P09-M-NAVY,Straight Pants,Bottoms,Trousers,Women,M,Navy,799.00,326.00,Core
P09-L-BLACK,Straight Pants,Bottoms,Trousers,Women,L,Black,799.00,326.00,Core
P09-L-BEIGE,Straight Pants,Bottoms,Trousers,Women,L,Beige,799.00,326.00,Core
P09-L-NAVY,Straight Pants,Bottoms,Trousers,Women,L,Navy,799.00,326.00,Core
P09-XL-BLACK,Straight Pants,Bottoms,Trousers,Women,XL,Black,799.00,326.00,Core
P09-XL-BEIGE,Straight Pants,Bottoms,Trousers,Women,XL,Beige,799.00,326.00,Core
P09-XL-NAVY,Straight Pants,Bottoms,Trousers,Women,XL,Navy,799.00,326.00,Core
P10-XS-INDIGO,Denim Jeggings,Bottoms,Jeggings,Women,XS,Indigo,999.00,415.00,Core
P10-XS-BLACK,Denim Jeggings,Bottoms,Jeggings,Women,XS,Black,999.00,415.00,Core
P10-S-INDIGO,Denim Jeggings,Bottoms,Jeggings,Women,S,Indigo,999.00,415.00,Core
P10-S-BLACK,Denim Jeggings,Bottoms,Jeggings,Women,S,Black,999.00,415.00,Core
P10-M-INDIGO,Denim Jeggings,Bottoms,Jeggings,Women,M,Indigo,999.00,415.00,Core
P10-M-BLACK,Denim Jeggings,Bottoms,Jeggings,Women,M,Black,999.00,415.00,Core
P10-L-INDIGO,Denim Jeggings,Bottoms,Jeggings,Women,L,Indigo,999.00,415.00,Core
P10-L-BLACK,Denim Jeggings,Bottoms,Jeggings,Women,L,Black,999.00,415.00,Core
P10-XL-INDIGO,Denim Jeggings,Bottoms,Jeggings,Women,XL,Indigo,999.00,415.00,Core
P10-XL-BLACK,Denim Jeggings,Bottoms,Jeggings,Women,XL,Black,999.00,415.00,Core
P11-XS-WHITE,Crop Top,Tops,Tops,Women,XS,White,599.00,235.00,Seasonal
P11-XS-LAVENDER,Crop Top,Tops,Tops,Women,XS,Lavender,599.00,235.00,Seasonal
P11-XS-BLACK,Crop Top,Tops,Tops,Women,XS,Black,599.00,235.00,Seasonal
P11-S-WHITE,Crop Top,Tops,Tops,Women,S,White,599.00,235.00,Seasonal
P11-S-LAVENDER,Crop Top,Tops,Tops,Women,S,Lavender,599.00,235.00,Seasonal
P11-S-BLACK,Crop Top,Tops,Tops,Women,S,Black,599.00,235.00,Seasonal
P11-M-WHITE,Crop Top,Tops,Tops,Women,M,White,599.00,235.00,Seasonal
P11-M-LAVENDER,Crop Top,Tops,Tops,Women,M,Lavender,599.00,235.00,Seasonal
P11-M-BLACK,Crop Top,Tops,Tops,Women,M,Black,599.00,235.00,Seasonal
P11-L-WHITE,Crop Top,Tops,Tops,Women,L,White,599.00,235.00,Seasonal
P11-L-LAVENDER,Crop Top,Tops,Tops,Women,L,Lavender,599.00,235.00,Seasonal
P11-L-BLACK,Crop Top,Tops,Tops,Women,L,Black,599.00,235.00,Seasonal
P12-XS-RED,Printed Top,Tops,Tops,Women,XS,Red,699.00,280.00,Core
P12-XS-BLUE,Printed Top,Tops,Tops,Women,XS,Blue,699.00,280.00,Core
P12-XS-WHITE,Printed Top,Tops,Tops,Women,XS,White,699.00,280.00,Core
P12-S-RED,Printed Top,Tops,Tops,Women,S,Red,699.00,280.00,Core
P12-S-BLUE,Printed Top,Tops,Tops,Women,S,Blue,699.00,280.00,Core
P12-S-WHITE,Printed Top,Tops,Tops,Women,S,White,699.00,280.00,Core
P12-M-RED,Printed Top,Tops,Tops,Women,M,Red,699.00,280.00,Core
P12-M-BLUE,Printed Top,Tops,Tops,Women,M,Blue,699.00,280.00,Core
P12-M-WHITE,Printed Top,Tops,Tops,Women,M,White,699.00,280.00,Core
P12-L-RED,Printed Top,Tops,Tops,Women,L,Red,699.00,280.00,Core
P12-L-BLUE,Printed Top,Tops,Tops,Women,L,Blue,699.00,280.00,Core
P12-L-WHITE,Printed Top,Tops,Tops,Women,L,White,699.00,280.00,Core
P12-XL-RED,Printed Top,Tops,Tops,Women,XL,Red,699.00,280.00,Core
P12-XL-BLUE,Printed Top,Tops,Tops,Women,XL,Blue,699.00,280.00,Core
P12-XL-WHITE,Printed Top,Tops,Tops,Women,XL,White,699.00,280.00,Core
P13-S-WINE,Anarkali Kurta Set,Ethnic Wear,Kurta Sets,Women,S,Wine,1799.00,825.00,Exit
P13-S-EMERALD,Anarkali Kurta Set,Ethnic Wear,Kurta Sets,Women,S,Emerald,1799.00,825.00,Exit
P13-S-NAVY,Anarkali Kurta Set,Ethnic Wear,Kurta Sets,Women,S,Navy,1799.00,825.00,Exit
P13-M-WINE,Anarkali Kurta Set,Ethnic Wear,Kurta Sets,Women,M,Wine,1799.00,825.00,Exit
P13-M-EMERALD,Anarkali Kurta Set,Ethnic Wear,Kurta Sets,Women,M,Emerald,1799.00,825.00,Exit
P13-M-NAVY,Anarkali Kurta Set,Ethnic Wear,Kurta Sets,Women,M,Navy,1799.00,825.00,Exit
P13-L-WINE,Anarkali Kurta Set,Ethnic Wear,Kurta Sets,Women,L,Wine,1799.00,825.00,Exit
P13-L-EMERALD,Anarkali Kurta Set,Ethnic Wear,Kurta Sets,Women,L,Emerald,1799.00,825.00,Exit
P13-L-NAVY,Anarkali Kurta Set,Ethnic Wear,Kurta Sets,Women,L,Navy,1799.00,825.00,Exit
P13-XL-WINE,Anarkali Kurta Set,Ethnic Wear,Kurta Sets,Women,XL,Wine,1799.00,825.00,Exit
P13-XL-EMERALD,Anarkali Kurta Set,Ethnic Wear,Kurta Sets,Women,XL,Emerald,1799.00,825.00,Exit
P13-XL-NAVY,Anarkali Kurta Set,Ethnic Wear,Kurta Sets,Women,XL,Navy,1799.00,825.00,Exit
P14-XS-TEAL,Palazzo Kurta Set,Ethnic Wear,Kurta Sets,Women,XS,Teal,1399.00,630.00,Markdown
P14-XS-MUSTARD,Palazzo Kurta Set,Ethnic Wear,Kurta Sets,Women,XS,Mustard,1399.00,630.00,Markdown
P14-XS-MAROON,Palazzo Kurta Set,Ethnic Wear,Kurta Sets,Women,XS,Maroon,1399.00,630.00,Markdown
P14-S-TEAL,Palazzo Kurta Set,Ethnic Wear,Kurta Sets,Women,S,Teal,1399.00,630.00,Markdown
P14-S-MUSTARD,Palazzo Kurta Set,Ethnic Wear,Kurta Sets,Women,S,Mustard,1399.00,630.00,Markdown
P14-S-MAROON,Palazzo Kurta Set,Ethnic Wear,Kurta Sets,Women,S,Maroon,1399.00,630.00,Markdown
P14-M-TEAL,Palazzo Kurta Set,Ethnic Wear,Kurta Sets,Women,M,Teal,1399.00,630.00,Markdown
P14-M-MUSTARD,Palazzo Kurta Set,Ethnic Wear,Kurta Sets,Women,M,Mustard,1399.00,630.00,Markdown
P14-M-MAROON,Palazzo Kurta Set,Ethnic Wear,Kurta Sets,Women,M,Maroon,1399.00,630.00,Markdown
P14-L-TEAL,Palazzo Kurta Set,Ethnic Wear,Kurta Sets,Women,L,Teal,1399.00,630.00,Markdown
P14-L-MUSTARD,Palazzo Kurta Set,Ethnic Wear,Kurta Sets,Women,L,Mustard,1399.00,630.00,Markdown
P14-L-MAROON,Palazzo Kurta Set,Ethnic Wear,Kurta Sets,Women,L,Maroon,1399.00,630.00,Markdown
P14-XL-TEAL,Palazzo Kurta Set,Ethnic Wear,Kurta Sets,Women,XL,Teal,1399.00,630.00,Markdown
P14-XL-MUSTARD,Palazzo Kurta Set,Ethnic Wear,Kurta Sets,Women,XL,Mustard,1399.00,630.00,Markdown
P14-XL-MAROON,Palazzo Kurta Set,Ethnic Wear,Kurta Sets,Women,XL,Maroon,1399.00,630.00,Markdown
P15-23Y-YELLOW,Kids Cartoon Tee,Tops,Kids Tops,Kids,2-3Y,Yellow,399.00,155.00,Core
P15-23Y-BLUE,Kids Cartoon Tee,Tops,Kids Tops,Kids,2-3Y,Blue,399.00,155.00,Core
P15-23Y-RED,Kids Cartoon Tee,Tops,Kids Tops,Kids,2-3Y,Red,399.00,155.00,Core
P15-45Y-YELLOW,Kids Cartoon Tee,Tops,Kids Tops,Kids,4-5Y,Yellow,399.00,155.00,Core
P15-45Y-BLUE,Kids Cartoon Tee,Tops,Kids Tops,Kids,4-5Y,Blue,399.00,155.00,Core
P15-45Y-RED,Kids Cartoon Tee,Tops,Kids Tops,Kids,4-5Y,Red,399.00,155.00,Core
P15-67Y-YELLOW,Kids Cartoon Tee,Tops,Kids Tops,Kids,6-7Y,Yellow,399.00,155.00,Core
P15-67Y-BLUE,Kids Cartoon Tee,Tops,Kids Tops,Kids,6-7Y,Blue,399.00,155.00,Core
P15-67Y-RED,Kids Cartoon Tee,Tops,Kids Tops,Kids,6-7Y,Red,399.00,155.00,Core
P15-89Y-YELLOW,Kids Cartoon Tee,Tops,Kids Tops,Kids,8-9Y,Yellow,399.00,155.00,Core
P15-89Y-BLUE,Kids Cartoon Tee,Tops,Kids Tops,Kids,8-9Y,Blue,399.00,155.00,Core
P15-89Y-RED,Kids Cartoon Tee,Tops,Kids Tops,Kids,8-9Y,Red,399.00,155.00,Core
P16-23Y-BLUE,Kids Denim Shorts,Bottoms,Kids Bottoms,Kids,2-3Y,Blue,599.00,250.00,Core
P16-23Y-BLACK,Kids Denim Shorts,Bottoms,Kids Bottoms,Kids,2-3Y,Black,599.00,250.00,Core
P16-45Y-BLUE,Kids Denim Shorts,Bottoms,Kids Bottoms,Kids,4-5Y,Blue,599.00,250.00,Core
P16-45Y-BLACK,Kids Denim Shorts,Bottoms,Kids Bottoms,Kids,4-5Y,Black,599.00,250.00,Core
P16-67Y-BLUE,Kids Denim Shorts,Bottoms,Kids Bottoms,Kids,6-7Y,Blue,599.00,250.00,Core
P16-67Y-BLACK,Kids Denim Shorts,Bottoms,Kids Bottoms,Kids,6-7Y,Black,599.00,250.00,Core
P16-89Y-BLUE,Kids Denim Shorts,Bottoms,Kids Bottoms,Kids,8-9Y,Blue,599.00,250.00,Core
P16-89Y-BLACK,Kids Denim Shorts,Bottoms,Kids Bottoms,Kids,8-9Y,Black,599.00,250.00,Core
P17-23Y-MAROON,Kids Ethnic Kurta Set,Ethnic Wear,Kids Ethnic,Kids,2-3Y,Maroon,999.00,430.00,Seasonal
P17-23Y-MUSTARD,Kids Ethnic Kurta Set,Ethnic Wear,Kids Ethnic,Kids,2-3Y,Mustard,999.00,430.00,Seasonal
P17-23Y-GREEN,Kids Ethnic Kurta Set,Ethnic Wear,Kids Ethnic,Kids,2-3Y,Green,999.00,430.00,Seasonal
P17-45Y-MAROON,Kids Ethnic Kurta Set,Ethnic Wear,Kids Ethnic,Kids,4-5Y,Maroon,999.00,430.00,Seasonal
P17-45Y-MUSTARD,Kids Ethnic Kurta Set,Ethnic Wear,Kids Ethnic,Kids,4-5Y,Mustard,999.00,430.00,Seasonal
P17-45Y-GREEN,Kids Ethnic Kurta Set,Ethnic Wear,Kids Ethnic,Kids,4-5Y,Green,999.00,430.00,Seasonal
P17-67Y-MAROON,Kids Ethnic Kurta Set,Ethnic Wear,Kids Ethnic,Kids,6-7Y,Maroon,999.00,430.00,Seasonal
P17-67Y-MUSTARD,Kids Ethnic Kurta Set,Ethnic Wear,Kids Ethnic,Kids,6-7Y,Mustard,999.00,430.00,Seasonal
P17-67Y-GREEN,Kids Ethnic Kurta Set,Ethnic Wear,Kids Ethnic,Kids,6-7Y,Green,999.00,430.00,Seasonal
P17-89Y-MAROON,Kids Ethnic Kurta Set,Ethnic Wear,Kids Ethnic,Kids,8-9Y,Maroon,999.00,430.00,Seasonal
P17-89Y-MUSTARD,Kids Ethnic Kurta Set,Ethnic Wear,Kids Ethnic,Kids,8-9Y,Mustard,999.00,430.00,Seasonal
P17-89Y-GREEN,Kids Ethnic Kurta Set,Ethnic Wear,Kids Ethnic,Kids,8-9Y,Green,999.00,430.00,Seasonal
P18-23Y-PINK,Kids Lehenga Set,Ethnic Wear,Kids Ethnic,Kids,2-3Y,Pink,1299.00,590.00,Markdown
P18-23Y-PEACH,Kids Lehenga Set,Ethnic Wear,Kids Ethnic,Kids,2-3Y,Peach,1299.00,590.00,Markdown
P18-23Y-MINT,Kids Lehenga Set,Ethnic Wear,Kids Ethnic,Kids,2-3Y,Mint,1299.00,590.00,Markdown
P18-45Y-PINK,Kids Lehenga Set,Ethnic Wear,Kids Ethnic,Kids,4-5Y,Pink,1299.00,590.00,Markdown
P18-45Y-PEACH,Kids Lehenga Set,Ethnic Wear,Kids Ethnic,Kids,4-5Y,Peach,1299.00,590.00,Markdown
P18-45Y-MINT,Kids Lehenga Set,Ethnic Wear,Kids Ethnic,Kids,4-5Y,Mint,1299.00,590.00,Markdown
P18-67Y-PINK,Kids Lehenga Set,Ethnic Wear,Kids Ethnic,Kids,6-7Y,Pink,1299.00,590.00,Markdown
P18-67Y-PEACH,Kids Lehenga Set,Ethnic Wear,Kids Ethnic,Kids,6-7Y,Peach,1299.00,590.00,Markdown
P18-67Y-MINT,Kids Lehenga Set,Ethnic Wear,Kids Ethnic,Kids,6-7Y,Mint,1299.00,590.00,Markdown
P18-89Y-PINK,Kids Lehenga Set,Ethnic Wear,Kids Ethnic,Kids,8-9Y,Pink,1299.00,590.00,Markdown
P18-89Y-PEACH,Kids Lehenga Set,Ethnic Wear,Kids Ethnic,Kids,8-9Y,Peach,1299.00,590.00,Markdown
P18-89Y-MINT,Kids Lehenga Set,Ethnic Wear,Kids Ethnic,Kids,8-9Y,Mint,1299.00,590.00,Markdown
P19-23Y-GREY,Kids Joggers,Bottoms,Kids Bottoms,Kids,2-3Y,Grey,699.00,285.00,Core
P19-23Y-NAVY,Kids Joggers,Bottoms,Kids Bottoms,Kids,2-3Y,Navy,699.00,285.00,Core
P19-23Y-BLACK,Kids Joggers,Bottoms,Kids Bottoms,Kids,2-3Y,Black,699.00,285.00,Core
P19-45Y-GREY,Kids Joggers,Bottoms,Kids Bottoms,Kids,4-5Y,Grey,699.00,285.00,Core
P19-45Y-NAVY,Kids Joggers,Bottoms,Kids Bottoms,Kids,4-5Y,Navy,699.00,285.00,Core
P19-45Y-BLACK,Kids Joggers,Bottoms,Kids Bottoms,Kids,4-5Y,Black,699.00,285.00,Core
P19-67Y-GREY,Kids Joggers,Bottoms,Kids Bottoms,Kids,6-7Y,Grey,699.00,285.00,Core
P19-67Y-NAVY,Kids Joggers,Bottoms,Kids Bottoms,Kids,6-7Y,Navy,699.00,285.00,Core
P19-67Y-BLACK,Kids Joggers,Bottoms,Kids Bottoms,Kids,6-7Y,Black,699.00,285.00,Core
P19-89Y-GREY,Kids Joggers,Bottoms,Kids Bottoms,Kids,8-9Y,Grey,699.00,285.00,Core
P19-89Y-NAVY,Kids Joggers,Bottoms,Kids Bottoms,Kids,8-9Y,Navy,699.00,285.00,Core
P19-89Y-BLACK,Kids Joggers,Bottoms,Kids Bottoms,Kids,8-9Y,Black,699.00,285.00,Core
P20-7-WHITE,Sneakers,Footwear,Shoes,Men,7,White,1499.00,690.00,Core
P20-7-BLACK,Sneakers,Footwear,Shoes,Men,7,Black,1499.00,690.00,Core
P20-7-GREY,Sneakers,Footwear,Shoes,Men,7,Grey,1499.00,690.00,Core
P20-8-WHITE,Sneakers,Footwear,Shoes,Men,8,White,1499.00,690.00,Core
P20-8-BLACK,Sneakers,Footwear,Shoes,Men,8,Black,1499.00,690.00,Core
P20-8-GREY,Sneakers,Footwear,Shoes,Men,8,Grey,1499.00,690.00,Core
P20-9-WHITE,Sneakers,Footwear,Shoes,Men,9,White,1499.00,690.00,Core
P20-9-BLACK,Sneakers,Footwear,Shoes,Men,9,Black,1499.00,690.00,Core
P20-9-GREY,Sneakers,Footwear,Shoes,Men,9,Grey,1499.00,690.00,Core
P20-10-WHITE,Sneakers,Footwear,Shoes,Men,10,White,1499.00,690.00,Core
P20-10-BLACK,Sneakers,Footwear,Shoes,Men,10,Black,1499.00,690.00,Core
